2024-12-14 20:43:42,185 [INFO] [drawCell] drew cell at Row=1, Col=2, Color=blue.
2024-12-14 20:43:42,185 [INFO] [drawCell] drew cell at Row=1, Col=3, Color=blue.
2024-12-14 20:43:42,185 [INFO] [drawCell] drew cell at Row=1, Col=4, Color=blue.
2024-12-14 20:43:42,186 [INFO] [drawCell] drew cell at Row=1, Col=5, Color=blue.
2024-12-14 20:43:42,186 [INFO] [drawCell] drew cell at Row=1, Col=6, Color=blue.
2024-12-14 20:43:42,187 [INFO] [drawCell] drew cell at Row=1, Col=7, Color=blue.
2024-12-14 20:43:42,187 [INFO] [drawCell] drew cell at Row=1, Col=8, Color=blue.
2024-12-14 20:43:42,188 [INFO] [drawCell] drew cell at Row=1, Col=9, Color=blue.
2024-12-14 20:43:42,189 [INFO] [drawCell] drew cell at Row=2, Col=0, Color=blue.
2024-12-14 20:43:42,190 [INFO] [drawCell] drew cell at Row=2, Col=1, Color=blue.
2024-12-14 20:43:42,191 [INFO] [drawCell] drew cell at Row=2, Col=2, Color=blue.
2024-12-14 20:43:42,191 [INFO] [drawCell] drew cell at Row=2, Col=3, Color=blue.
2024-12-14 20:43:42,191 [INFO] [drawCell] drew cell at Row=2, Col=4, Color=blue.
2024-12-14 20:43:42,192 [INFO] [drawCell] drew cell at Row=2, Col=5, Color=blue.
2024-12-14 20:43:42,192 [INFO] [drawCell] drew cell at Row=2, Col=6, Color=blue.
2024-12-14 20:43:42,192 [INFO] [drawCell] drew cell at Row=2, Col=7, Color=blue.
2024-12-14 20:43:42,193 [INFO] [drawCell] drew cell at Row=2, Col=8, Color=blue.
2024-12-14 20:43:42,193 [INFO] [drawCell] drew cell at Row=2, Col=9, Color=blue.
2024-12-14 20:43:42,194 [INFO] [drawCell] drew cell at Row=3, Col=0, Color=blue.
2024-12-14 20:43:42,194 [INFO] [drawCell] drew cell at Row=3, Col=1, Color=blue.
2024-12-14 20:43:42,194 [INFO] [drawCell] drew cell at Row=3, Col=2, Color=blue.
2024-12-14 20:43:42,195 [INFO] [drawCell] drew cell at Row=3, Col=3, Color=blue.
2024-12-14 20:43:42,195 [INFO] [drawCell] drew cell at Row=3, Col=4, Color=blue.
2024-12-14 20:43:42,195 [INFO] [drawCell] drew cell at Row=3, Col=5, Color=blue.
2024-12-14 20:43:42,195 [INFO] [drawCell] drew cell at Row=3, Col=6, Color=blue.
2024-12-14 20:43:42,196 [INFO] [drawCell] drew cell at Row=3, Col=7, Color=blue.
2024-12-14 20:43:42,196 [INFO] [drawCell] drew cell at Row=3, Col=8, Color=blue.
2024-12-14 20:43:42,196 [INFO] [drawCell] drew cell at Row=3, Col=9, Color=blue.
2024-12-14 20:43:42,197 [INFO] [drawCell] drew cell at Row=4, Col=0, Color=blue.
2024-12-14 20:43:42,197 [INFO] [drawCell] drew cell at Row=4, Col=1, Color=blue.
2024-12-14 20:43:42,197 [INFO] [drawCell] drew cell at Row=4, Col=2, Color=blue.
2024-12-14 20:43:42,198 [INFO] [drawCell] drew cell at Row=4, Col=3, Color=blue.
2024-12-14 20:43:42,198 [INFO] [drawCell] drew cell at Row=4, Col=4, Color=blue.
2024-12-14 20:43:42,199 [INFO] [drawCell] drew cell at Row=4, Col=5, Color=blue.
2024-12-14 20:43:42,199 [INFO] [drawCell] drew cell at Row=4, Col=6, Color=blue.
2024-12-14 20:43:42,200 [INFO] [drawCell] drew cell at Row=4, Col=7, Color=blue.
2024-12-14 20:43:42,200 [INFO] [drawCell] drew cell at Row=4, Col=8, Color=blue.
2024-12-14 20:43:42,201 [INFO] [drawCell] drew cell at Row=4, Col=9, Color=blue.
2024-12-14 20:43:42,201 [INFO] [drawCell] drew cell at Row=5, Col=0, Color=blue.
